DATE,NIFTY_500_CLOSE,52W_HIGH,52W_LOW,PCT_HIGH,ABOVE_200SMA,PCT_ABOVE_200SMA
2005-09-26,2245.39697265625,0,0,0.0,0,0.0
2005-09-27,2259.34716796875,190,40,88.0,0,0.0
2005-09-28,2280.34716796875,100,26,46.3,0,0.0
2005-09-29,2281.7470703125,92,45,42.6,0,0.0
2005-09-30,2273.9970703125,54,77,25.0,0,0.0
2005-10-03,2299.447021484375,74,19,34.3,0,0.0
2005-10-04,2327.746826171875,91,13,42.1,0,0.0
2005-10-05,2313.2470703125,52,14,24.1,0,0.0
2005-10-06,2270.047119140625,25,35,11.6,0,0.0
2005-10-07,2264.09716796875,25,35,11.6,0,0.0
2005-10-10,2253.59716796875,22,35,10.2,0,0.0
2005-10-11,2263.9970703125,13,50,6.0,0,0.0
2005-10-13,2226.2470703125,20,41,9.3,0,0.0
2005-10-14,2181.047119140625,11,93,5.1,0,0.0
2005-10-17,2172.59716796875,14,94,6.5,0,0.0
2005-10-18,2157.89697265625,10,67,4.6,0,0.0
2005-10-19,2105.647216796875,8,121,3.7,0,0.0
2005-10-20,2085.147216796875,14,120,6.5,0,0.0
2005-10-21,2119.447265625,11,83,5.1,0,0.0
2005-10-24,2092.04736328125,12,26,5.5,0,0.0
2005-10-25,2108.497314453125,7,26,3.2,0,0.0
2005-10-26,2098.197265625,7,24,3.2,0,0.0
2005-10-27,2052.04736328125,12,65,5.5,0,0.0
2005-10-28,2022.1473388671875,7,86,3.2,0,0.0
2005-10-31,2067.79736328125,11,52,5.1,0,0.0
2005-11-02,2106.397216796875,11,13,5.1,0,0.0
2005-11-07,2141.947021484375,11,11,5.1,0,0.0
2005-11-08,2172.9970703125,15,8,6.9,0,0.0
2005-11-09,2166.59716796875,21,10,9.7,0,0.0
2005-11-10,2177.2470703125,16,9,7.4,0,0.0
2005-11-11,2220.197021484375,28,7,12.9,0,0.0
2005-11-14,2227.14697265625,28,8,12.9,0,0.0
2005-11-16,2245.2470703125,25,8,11.5,0,0.0
2005-11-17,2259.547119140625,28,8,12.9,0,0.0
2005-11-18,2268.9970703125,36,8,16.6,0,0.0
2005-11-21,2255.2470703125,27,9,12.4,0,0.0
2005-11-22,2233.89697265625,20,8,9.2,0,0.0
2005-11-23,2255.4970703125,22,9,10.1,0,0.0
2005-11-24,2274.697021484375,35,8,16.1,0,0.0
2005-11-25,2300.697021484375,33,8,15.2,0,0.0
2005-11-28,2346.846923828125,66,7,30.4,0,0.0
2005-11-29,2336.796875,35,9,16.1,0,0.0
2005-11-30,2306.14697265625,35,10,16.1,0,0.0
2005-12-01,2342.296875,26,11,12.0,0,0.0
2005-12-02,2345.146728515625,39,7,18.0,0,0.0
2005-12-05,2319.697021484375,30,8,13.8,0,0.0
2005-12-06,2318.447021484375,29,10,13.4,0,0.0
2005-12-07,2339.746826171875,28,10,12.9,0,0.0
2005-12-08,2350.896728515625,33,10,15.2,0,0.0
2005-12-09,2385.846923828125,34,9,15.7,161,74.2
2005-12-12,2402.496826171875,49,8,22.6,161,74.2
2005-12-13,2427.896728515625,39,7,18.0,166,76.5
2005-12-14,2425.69677734375,48,8,22.0,170,78.0
2005-12-15,2401.19677734375,27,8,12.4,161,73.9
2005-12-16,2425.396728515625,15,8,6.9,167,76.6
2005-12-19,2452.646728515625,34,9,15.6,172,78.9
2005-12-20,2446.846923828125,30,9,13.8,170,78.0
2005-12-21,2445.496826171875,29,8,13.3,169,77.5
2005-12-22,2454.346923828125,25,9,11.5,168,77.1
2005-12-23,2426.096923828125,23,13,10.6,157,72.0
2005-12-26,2377.246826171875,14,18,6.4,136,62.4
2005-12-27,2424.646728515625,15,9,6.9,151,69.3
2005-12-28,2422.046875,18,7,8.3,154,70.6
2005-12-29,2440.296875,23,10,10.6,155,71.1
2005-12-30,2459.19677734375,31,7,14.2,165,75.7
2006-01-02,2464.246826171875,28,8,12.8,168,77.1
2006-01-03,2502.546875,43,7,19.7,180,82.6
2006-01-04,2522.546630859375,52,8,23.7,180,82.2
2006-01-05,2525.396484375,45,8,20.5,184,84.0
2006-01-06,2537.296630859375,34,9,15.5,184,84.0
2006-01-09,2540.396484375,46,7,21.0,187,85.4
2006-01-10,2512.046875,34,8,15.5,181,82.6
2006-01-12,2502.046875,24,8,11.0,179,81.7
2006-01-13,2502.746826171875,34,7,15.5,176,80.4
2006-01-16,2486.146728515625,17,11,7.8,168,76.7
2006-01-17,2473.646728515625,17,11,7.8,166,75.8
2006-01-18,2455.746826171875,16,13,7.3,160,73.1
2006-01-19,2506.296875,27,9,12.3,170,77.6
2006-01-20,2529.0966796875,33,9,15.1,169,77.2
2006-01-23,2517.74658203125,29,9,13.2,170,77.6
2006-01-24,2532.49658203125,30,9,13.7,168,76.7
2006-01-25,2548.5966796875,41,8,18.7,163,74.4
2006-01-27,2587.49658203125,51,10,23.2,173,78.6
2006-01-30,2570.146484375,38,12,17.3,167,75.9
2006-01-31,2585.946533203125,23,10,10.5,169,76.8
2006-02-01,2560.546630859375,33,17,15.0,163,74.1
2006-02-02,2559.546630859375,23,17,10.5,161,73.2
2006-02-03,2550.196533203125,26,16,11.8,158,71.8
2006-02-06,2588.646484375,29,12,13.2,165,75.0
2006-02-07,2605.3466796875,37,9,16.8,167,75.9
2006-02-08,2603.24658203125,26,13,11.8,164,74.5
2006-02-10,2621.396484375,37,7,16.8,170,77.3
2006-02-13,2634.5966796875,39,7,17.7,174,79.1
2006-02-14,2617.99658203125,40,7,18.2,172,78.2
2006-02-15,2624.8466796875,28,8,12.7,169,76.8
2006-02-16,2630.24658203125,32,9,14.5,169,76.8
2006-02-17,2593.546630859375,18,8,8.2,161,73.2
2006-02-20,2598.946533203125,11,11,5.0,161,73.2
2006-02-21,2620.646484375,15,11,6.8,165,75.0
2006-02-22,2635.8466796875,19,9,8.6,162,73.6
2006-02-23,2640.146484375,24,11,10.9,162,73.6
2006-02-24,2644.946533203125,17,9,7.7,167,75.9
2006-02-27,2660.696533203125,12,10,5.5,174,79.1
2006-02-28,2658.946533203125,21,10,9.5,169,76.8
2006-03-01,2698.5966796875,34,9,15.5,168,76.4
2006-03-02,2721.996337890625,50,7,22.7,170,77.3
2006-03-03,2724.246337890625,36,9,16.4,172,78.2
2006-03-06,2761.04638671875,45,9,20.5,174,79.1
2006-03-07,2767.1962890625,42,9,19.1,177,80.5
2006-03-08,2714.996337890625,45,7,20.5,170,77.3
2006-03-09,2726.746337890625,18,7,8.2,172,78.2
2006-03-10,2765.846435546875,33,9,15.0,171,77.7
2006-03-13,2779.996337890625,43,9,19.5,172,78.2
2006-03-14,2771.146240234375,32,7,14.5,168,76.0
2006-03-16,2789.346435546875,23,7,10.4,170,76.9
2006-03-17,2790.04638671875,29,9,13.1,166,74.8
2006-03-20,2812.496337890625,22,11,9.9,168,75.7
2006-03-21,2809.396240234375,36,10,16.2,166,74.8
2006-03-22,2789.29638671875,19,14,8.6,163,73.4
2006-03-23,2796.896240234375,19,11,8.5,167,74.9
2006-03-24,2821.54638671875,28,12,12.6,169,75.8
2006-03-27,2851.746337890625,35,9,15.7,170,76.2
2006-03-28,2844.146240234375,27,10,12.1,166,74.4
2006-03-29,2864.396240234375,26,9,11.7,169,75.8
2006-03-30,2901.14599609375,44,15,19.7,172,77.1
2006-03-31,2910.34619140625,44,10,19.7,178,79.8
2006-04-03,2974.09619140625,65,7,29.0,186,83.0
2006-04-04,2992.99609375,61,7,27.1,192,85.3
2006-04-05,3022.296142578125,65,6,28.9,197,87.6
2006-04-07,2977.49609375,76,7,33.8,190,84.4
2006-04-10,2994.296142578125,34,6,15.1,188,83.6
2006-04-12,2924.24609375,29,8,12.9,178,79.1
2006-04-13,2884.396240234375,14,9,6.2,170,75.6
2006-04-17,2943.89599609375,13,6,5.8,177,78.7
2006-04-18,3005.84619140625,23,7,10.2,184,81.8
2006-04-19,3017.64599609375,37,6,16.4,184,81.8
2006-04-20,3038.296142578125,33,6,14.7,184,81.8
2006-04-21,3034.74609375,28,6,12.4,180,80.0
2006-04-24,3024.89599609375,33,6,14.6,179,79.2
2006-04-25,2960.296142578125,18,7,7.9,169,74.4
2006-04-26,3032.196044921875,17,6,7.5,176,77.5
2006-04-27,3005.34619140625,30,7,13.2,175,77.1
2006-04-28,3014.09619140625,17,11,7.5,176,77.5
2006-05-02,3100.69580078125,49,6,21.6,186,81.9
2006-05-03,3124.19580078125,30,6,13.2,189,83.3
2006-05-04,3133.19580078125,32,6,14.1,188,82.8
2006-05-05,3143.095947265625,20,6,8.8,191,84.1
2006-05-08,3163.245849609375,35,6,15.4,192,84.6
2006-05-09,3178.7958984375,31,6,13.7,195,85.9
2006-05-10,3208.845947265625,39,7,17.2,197,86.8
2006-05-11,3168.645751953125,31,6,13.7,193,85.0
2006-05-12,3132.345947265625,23,6,10.1,190,83.7
2006-05-15,3007.796142578125,23,7,10.1,181,79.7
2006-05-16,3011.84619140625,12,7,5.3,176,77.5
2006-05-17,3099.7958984375,18,6,7.9,185,81.5
2006-05-18,2889.046142578125,14,11,6.2,155,68.3
2006-05-19,2767.746337890625,8,20,3.5,132,58.1
2006-05-22,2611.296630859375,8,53,3.5,109,48.0
2006-05-23,2712.346435546875,7,20,3.1,128,56.4
2006-05-24,2662.546630859375,7,7,3.1,126,55.5
2006-05-25,2684.5966796875,7,6,3.1,122,53.7
2006-05-26,2726.4462890625,7,6,3.1,133,58.6
2006-05-29,2737.54638671875,8,6,3.5,133,58.6
2006-05-30,2721.79638671875,7,7,3.1,134,59.0
2006-05-31,2635.24658203125,7,8,3.1,117,51.5
2006-06-01,2548.3466796875,7,9,3.1,101,44.5
2006-06-02,2615.74658203125,8,15,3.5,103,45.4
2006-06-05,2559.546630859375,7,10,3.1,92,40.5
2006-06-06,2486.746826171875,7,25,3.1,74,32.6
2006-06-07,2384.896728515625,7,48,3.1,47,20.7
